Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71674696,3,"Wednesday, November  2, 2011 17:32:05 UTC",38.1555,-121.9133,2.8,20.40,107,"Northern California"
ak,10346680,2,"Wednesday, November  2, 2011 17:18:06 UTC",51.2490,-175.8146,2.7,25.60,11,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10346675,2,"Wednesday, November  2, 2011 17:04:04 UTC",52.6124,-168.8851,2.5,0.00, 6,"Fox Islands, Aleutian Islands, Alaska"
ak,10346666,3,"Wednesday, November  2, 2011 16:46:38 UTC",52.5271,-169.3087,2.6,41.80, 6,"Fox Islands, Aleutian Islands, Alaska"
us,b0006i5a,C,"Wednesday, November  2, 2011 14:59:26 UTC",-55.3030,-128.7954,6.2,1.10,118,"Pacific-Antarctic Ridge"
nn,00353612,8,"Wednesday, November  2, 2011 14:47:50 UTC",37.2225,-114.5824,2.6,10.60, 4,"Nevada"
nc,71674611,5,"Wednesday, November  2, 2011 14:20:43 UTC",36.2307,-120.8000,2.8,9.00,98,"Central California"
us,b0006i46,4,"Wednesday, November  2, 2011 13:24:02 UTC",38.6566,43.6102,4.6,10.00,32,"eastern Turkey"
pr,11306003,0,"Wednesday, November  2, 2011 13:23:30 UTC",18.1630,-66.1589,2.6,14.20, 7,"Puerto Rico"
us,b0006i3d,5,"Wednesday, November  2, 2011 11:43:04 UTC",37.0346,43.8070,4.7,10.00,48,"Turkey-Iraq border region"
ak,10346582,2,"Wednesday, November  2, 2011 10:48:35 UTC",67.1607,-144.1632,2.5,10.00,13,"northern Alaska"
ci,15071604,4,"Wednesday, November  2, 2011 10:23:28 UTC",32.1205,-115.2408,2.9,10.00,17,"Baja California, Mexico"
pr,11306002,0,"Wednesday, November  2, 2011 10:13:27 UTC",19.1089,-65.1360,3.4,33.20, 3,"Virgin Islands region"
ak,10346573,2,"Wednesday, November  2, 2011 10:13:24 UTC",59.7943,-153.1623,2.6,125.30,16,"Southern Alaska"
pr,11306001,0,"Wednesday, November  2, 2011 10:11:32 UTC",19.0389,-65.1370,3.4,53.00, 3,"Virgin Islands region"
ak,10346552,2,"Wednesday, November  2, 2011 07:35:16 UTC",60.1681,-152.3218,2.7,92.30,38,"Southern Alaska"
us,b0006hzm,6,"Wednesday, November  2, 2011 07:21:08 UTC",40.4423,-125.9530,3.1,10.30,44,"off the coast of Northern California"
ak,10348961,2,"Wednesday, November  2, 2011 06:54:49 UTC",52.1858,-171.6791,2.8,43.60, 5,"Fox Islands, Aleutian Islands, Alaska"
us,b0006hze,6,"Wednesday, November  2, 2011 06:33:29 UTC",-0.0394,123.4129,5.0,130.80,52,"Sulawesi, Indonesia"
ak,10346540,2,"Wednesday, November  2, 2011 06:21:23 UTC",54.0065,-163.1433,2.9,43.70,13,"Unimak Island region, Alaska"
us,b0006hz3,3,"Wednesday, November  2, 2011 05:55:19 UTC",36.7906,68.8815,4.5,51.80,12,"Hindu Kush region, Afghanistan"
us,b0006hyc,5,"Wednesday, November  2, 2011 04:34:24 UTC",38.6354,43.5482,4.5,7.20,28,"eastern Turkey"
ak,10348954,2,"Wednesday, November  2, 2011 04:20:48 UTC",57.0440,-156.0980,2.5,71.70, 9,"Alaska Peninsula"
pr,11306000,0,"Wednesday, November  2, 2011 03:40:38 UTC",18.5690,-65.2659,2.8,81.00,10,"Puerto Rico region"
ak,10346519,2,"Wednesday, November  2, 2011 03:08:37 UTC",65.6367,-132.8523,3.1,10.70, 9,"northern Yukon Territory, Canada"
us,b0006hxj,5,"Wednesday, November  2, 2011 02:06:26 UTC",-14.6130,-75.8953,4.5,36.50,12,"near the coast of central Peru"
ak,10348949,2,"Wednesday, November  2, 2011 02:01:12 UTC",51.9197,-171.7048,3.1,42.10, 7,"Fox Islands, Aleutian Islands, Alaska"
us,b0006hx7,8,"Wednesday, November  2, 2011 01:43:28 UTC",39.1710,141.6273,4.6,74.50,39,"eastern Honshu, Japan"
ci,15071396,3,"Tuesday, November  1, 2011 23:25:23 UTC",33.3803,-116.3263,3.0,13.00,150,"Southern California"
us,b0006hvj,5,"Tuesday, November  1, 2011 23:21:20 UTC",-7.1157,129.1202,5.3,178.60,68,"Kepulauan Babar, Indonesia"
us,b0006hux,5,"Tuesday, November  1, 2011 22:41:58 UTC",-41.7315,174.2897,4.8,14.50,26,"Cook Strait, New Zealand"
us,b0006hu9,7,"Tuesday, November  1, 2011 22:29:39 UTC",19.6826,-109.2655,5.0,9.90,203,"Revilla Gigedo Islands region"
us,b0006hu6,3,"Tuesday, November  1, 2011 22:28:46 UTC",-24.3128,-67.2461,4.6,204.60,13,"Salta, Argentina"
ak,10348394,2,"Tuesday, November  1, 2011 22:07:59 UTC",55.7815,-160.6998,3.0,158.70,14,"Alaska Peninsula"
us,b0006htk,5,"Tuesday, November  1, 2011 22:02:13 UTC",2.5506,97.1512,4.7,45.90,39,"northern Sumatra, Indonesia"
us,b0006ht5,4,"Tuesday, November  1, 2011 21:54:38 UTC",19.8154,-109.3329,4.3,10.00,54,"Revilla Gigedo Islands region"
us,b0006hrw,5,"Tuesday, November  1, 2011 21:10:44 UTC",38.8807,43.5815,4.3,5.00, 0,"eastern Turkey"
us,b0006hlq,5,"Tuesday, November  1, 2011 17:58:33 UTC",-23.9021,-69.1727,5.1,79.20,230,"Antofagasta, Chile"
ak,10345997,2,"Tuesday, November  1, 2011 17:44:58 UTC",51.3407,-178.4730,2.5,25.70,10,"Andreanof Islands, Aleutian Islands, Alaska"
us,b0006hkd,5,"Tuesday, November  1, 2011 17:18:05 UTC",34.5130,104.1052,5.1,17.00,61,"Gansu, China"
ak,10345971,2,"Tuesday, November  1, 2011 16:32:33 UTC",51.7029,-176.8391,2.9,76.10,16,"Andreanof Islands, Aleutian Islands, Alaska"
us,b0006hin,A,"Tuesday, November  1, 2011 16:21:25 UTC",35.9394,141.6369,5.0,21.10,159,"near the east coast of Honshu, Japan"
ak,10345967,2,"Tuesday, November  1, 2011 16:12:34 UTC",55.1785,-157.4502,3.1,18.60,12,"Alaska Peninsula"
ci,15071220,8,"Tuesday, November  1, 2011 15:38:22 UTC",35.6807,-117.6197,4.1,7.00,55,"Southern California"
ak,10348377,2,"Tuesday, November  1, 2011 13:50:50 UTC",55.1376,-157.4356,2.9,12.60,13,"Alaska Peninsula"
us,2011stav,3,"Tuesday, November  1, 2011 13:38:48 UTC",19.7903,-109.6422,4.2,10.00,55,"Revilla Gigedo Islands region"
us,b0006hfg,F,"Tuesday, November  1, 2011 12:32:00 UTC",19.8913,-109.2155,6.3,5.00,359,"Revilla Gigedo Islands region"
ak,10348375,2,"Tuesday, November  1, 2011 12:11:30 UTC",52.0763,-171.6225,2.9,41.60, 9,"Fox Islands, Aleutian Islands, Alaska"
pr,11306004,0,"Tuesday, November  1, 2011 11:27:47 UTC",18.5559,-65.6050,3.0,35.00, 4,"Puerto Rico region"
ak,10345884,3,"Tuesday, November  1, 2011 10:20:38 UTC",60.2748,-153.0135,2.9,135.90,76,"Southern Alaska"
ak,10345882,2,"Tuesday, November  1, 2011 09:35:44 UTC",55.0946,-158.4668,2.8,24.10,14,"Alaska Peninsula"
us,2011staq,1,"Tuesday, November  1, 2011 09:21:37 UTC",35.8219,22.5940,4.3,10.00,14,"central Mediterranean Sea"
us,b0006hdc,7,"Tuesday, November  1, 2011 07:40:05 UTC",-20.2245,-177.5900,4.6,524.10,90,"Fiji region"
ak,10345843,3,"Tuesday, November  1, 2011 07:19:15 UTC",53.8565,-160.2198,3.0,35.30,11,"south of Alaska"
ci,15071068,4,"Tuesday, November  1, 2011 07:01:59 UTC",32.0695,-115.0967,2.6,15.00,10,"Baja California, Mexico"
ak,10345823,3,"Tuesday, November  1, 2011 06:14:36 UTC",59.7588,-152.4245,3.4,81.10,97,"Southern Alaska"
ak,10345790,2,"Tuesday, November  1, 2011 03:59:16 UTC",59.7376,-152.6591,2.8,83.40,70,"Southern Alaska"
ak,10345767,2,"Tuesday, November  1, 2011 01:54:40 UTC",54.7613,-160.6665,3.2,13.30,24,"Alaska Peninsula"
us,b0006hbe,3,"Tuesday, November  1, 2011 01:52:13 UTC",-49.1885,124.6241,4.8,10.10,10,"western Indian-Antarctic Ridge"
us,b0006had,8,"Tuesday, November  1, 2011 01:03:52 UTC",-0.0041,123.3699,5.5,140.40,115,"Sulawesi, Indonesia"
us,b0006h8e,A,"Tuesday, November  1, 2011 00:21:28 UTC",43.6330,82.3830,5.4,27.90,417,"northern Xinjiang, China"
us,b0006h7f,6,"Tuesday, November  1, 2011 00:02:15 UTC",-35.5510,-72.7896,4.7,20.50,22,"offshore Maule, Chile"
us,b0006h29,6,"Monday, October 31, 2011 21:58:16 UTC",32.5593,105.3239,5.5,16.10,154,"Sichuan-Gansu border region, China"
us,b0006h0q,5,"Monday, October 31, 2011 20:59:49 UTC",42.8596,145.0862,4.8,55.30,57,"Hokkaido, Japan region"
ak,10346429,2,"Monday, October 31, 2011 17:16:22 UTC",52.5123,-173.0407,3.5,218.80,12,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10345412,2,"Monday, October 31, 2011 14:13:33 UTC",59.8815,-153.1956,3.3,127.10,81,"Southern Alaska"
us,2011ssay,2,"Monday, October 31, 2011 14:09:26 UTC",39.8711,143.6343,4.6,35.00, 8,"off the east coast of Honshu, Japan"
ak,10345403,2,"Monday, October 31, 2011 13:41:10 UTC",61.7673,-139.0205,2.8,5.00,39,"Southern Yukon Territory, Canada"
ak,10346419,2,"Monday, October 31, 2011 13:23:03 UTC",53.5215,-162.7956,2.6,32.90,11,"south of Alaska"
ci,11027613,4,"Monday, October 31, 2011 12:26:45 UTC",35.9312,-117.6228,2.9,3.70,49,"Central California"
us,b0006gs6,5,"Monday, October 31, 2011 11:41:46 UTC",-21.6978,-179.5185,4.7,601.40,26,"Fiji region"
ci,11027605,3,"Monday, October 31, 2011 11:31:49 UTC",34.2162,-117.5067,2.8,4.00,116,"Greater Los Angeles area, California"
nc,71673446,5,"Monday, October 31, 2011 09:42:30 UTC",37.8675,-122.2520,2.5,9.20,211,"San Francisco Bay area, California"
us,b0006grm,7,"Monday, October 31, 2011 09:02:30 UTC",35.0930,141.4237,4.8,31.90,48,"near the east coast of Honshu, Japan"
us,b0006gr6,B,"Monday, October 31, 2011 07:16:21 UTC",52.4089,177.9053,5.8,152.90,616,"Rat Islands, Aleutian Islands, Alaska"
at,00ltx5iz,1,"Monday, October 31, 2011 07:16:11 UTC",50.7480,177.2889,6.0,216.00,16,"Rat Islands, Aleutian Islands, Alaska"
us,b0006gr2,7,"Monday, October 31, 2011 06:54:43 UTC",45.7711,150.0020,4.8,43.10,72,"Kuril Islands"
ak,10345319,2,"Monday, October 31, 2011 06:31:21 UTC",63.0374,-150.6298,2.7,109.90,75,"Central Alaska"
us,b0006gqu,5,"Monday, October 31, 2011 06:28:31 UTC",14.3220,-92.1971,4.4,84.90,90,"offshore Guatemala"
nn,00353340,8,"Monday, October 31, 2011 05:52:40 UTC",38.7773,-119.5049,2.6,7.50,19,"Nevada"
us,b0006gq5,5,"Monday, October 31, 2011 04:48:44 UTC",-8.2231,106.7733,4.8,29.70,41,"south of Java, Indonesia"
us,b0006gqc,3,"Monday, October 31, 2011 04:45:43 UTC",-23.4109,-115.0063,5.1,10.00,164,"southern East Pacific Rise"
us,b0006gpr,6,"Monday, October 31, 2011 03:40:10 UTC",-25.6387,-71.6935,4.8,41.70,46,"off the coast of Antofagasta, Chile"
us,b0006gpi,5,"Monday, October 31, 2011 02:11:49 UTC",36.3832,70.7455,4.6,202.90,48,"Hindu Kush region, Afghanistan"
us,b0006gpe,5,"Monday, October 31, 2011 01:31:40 UTC",35.7955,140.2958,4.7,65.10,25,"near the east coast of Honshu, Japan"
us,b0006gpf,3,"Monday, October 31, 2011 01:22:05 UTC",12.4187,48.0663,5.0,10.00,29,"Gulf of Aden"
us,b0006gp4,5,"Sunday, October 30, 2011 23:08:29 UTC",38.7833,142.4219,4.9,33.70,64,"near the east coast of Honshu, Japan"
ak,10345251,2,"Sunday, October 30, 2011 21:45:05 UTC",53.4167,-163.5364,3.0,41.80,20,"Unimak Island region, Alaska"
ci,11027413,1,"Sunday, October 30, 2011 21:13:49 UTC",32.9127,-116.3645,2.6,9.10,122,"Southern California"
us,b0006glr,8,"Sunday, October 30, 2011 18:53:43 UTC",-25.8121,-70.5671,5.7,31.40,129,"Antofagasta, Chile"
nc,71673136,3,"Sunday, October 30, 2011 18:03:20 UTC",35.9352,-120.0280,2.7,9.90,85,"Central California"
us,b0006gkx,7,"Sunday, October 30, 2011 16:58:41 UTC",2.6162,128.6977,4.7,190.20,20,"Halmahera, Indonesia"
us,2011srbd,4,"Sunday, October 30, 2011 16:16:02 UTC",8.6984,58.2174,4.4,10.00,11,"Carlsberg Ridge"
us,2011srbb,5,"Sunday, October 30, 2011 15:34:05 UTC",-9.5234,158.6351,4.7,10.00,15,"Solomon Islands"
nc,71673001,7,"Sunday, October 30, 2011 13:26:43 UTC",35.9403,-120.0328,3.5,8.40,86,"Central California"
nc,71672996,9,"Sunday, October 30, 2011 13:25:19 UTC",39.6062,-120.4770,3.8,14.40,23,"Northern California"
us,b0006gju,9,"Sunday, October 30, 2011 11:52:27 UTC",-3.1111,101.4093,5.6,38.10,365,"southern Sumatra, Indonesia"
us,b0006gjp,C,"Sunday, October 30, 2011 10:57:58 UTC",-14.3591,-75.9483,4.8,20.60,29,"near the coast of central Peru"
ak,10345124,2,"Sunday, October 30, 2011 09:17:05 UTC",54.4577,-161.6212,2.6,38.70, 8,"Alaska Peninsula"
ak,10345313,2,"Sunday, October 30, 2011 09:02:23 UTC",52.3267,-164.8506,2.8,33.10,28,"south of Alaska"
us,b0006gia,6,"Sunday, October 30, 2011 07:34:33 UTC",-47.4027,100.1214,4.5,10.00,13,"southeast Indian Ridge"
us,b0006ghx,4,"Sunday, October 30, 2011 06:30:04 UTC",35.3138,142.8031,4.5,10.00,27,"off the east coast of Honshu, Japan"
us,b0006gi2,6,"Sunday, October 30, 2011 06:28:51 UTC",15.5294,-90.2929,4.4,303.00,87,"Guatemala"
us,b0006ghm,5,"Sunday, October 30, 2011 05:48:57 UTC",-17.0424,-178.3198,4.6,550.80,16,"Fiji region"
us,b0006ghd,9,"Sunday, October 30, 2011 05:24:07 UTC",37.6816,144.5306,5.2,9.90,253,"off the east coast of Honshu, Japan"
ak,10345076,2,"Sunday, October 30, 2011 05:15:08 UTC",66.2927,-146.6328,2.6,26.30,22,"northern Alaska"
us,b0006gh4,6,"Sunday, October 30, 2011 05:09:07 UTC",5.2279,125.4243,4.9,214.40,36,"Mindanao, Philippines"
us,b0006ggt,3,"Sunday, October 30, 2011 04:01:27 UTC",-5.4293,147.1880,4.8,185.70,24,"eastern New Guinea region, Papua New Guinea"
ak,10345062,3,"Sunday, October 30, 2011 03:41:25 UTC",52.3020,-169.9895,3.9,33.40,20,"Fox Islands, Aleutian Islands, Alaska"
